year,month,day,MKT_RF,SMB,HML,RF,GE,XOM,AAPL,R3000,R2000,SP500
1952,2,1,-0.0262,0.0067,-0.0023,0.0012,,,,,,
1952,3,1,0.0444,-0.0301,0.0222,0.0011,,,,,,
1952,4,1,-0.0497,0.0041,0.0028,0.0012,,,,,,
1952,5,1,0.0319,-0.0107,0.0018,0.0013,,,,,,
1952,6,1,0.0383,-0.0162,0.0117,0.0015,,,,,,
1952,7,1,0.0091,-0.0031,-0.0035,0.0015,,,,,,
1952,8,1,-0.0076,0.0117,-0.0011,0.0015,,,,,,
1952,9,1,-0.0204,0.0124,-0.0163,0.0016,,,,,,
1952,10,1,-0.0066,-0.0111,-0.0033,0.0014,,,,,,
1952,11,1,0.0594,-0.0066,0.0102,0.001,,,,,,
1952,12,1,0.0293,-0.014,0.0019,0.0016,,,,,,
1953,1,1,-0.0034,0.0352,0.0128,0.0016,,,,,,
1953,2,1,-0.0027,0.0221,-0.0007,0.0014,,,,,,
1953,3,1,-0.0143,-0.0005,-0.0105,0.0018,,,,,,
1953,4,1,-0.0283,0.0033,0.0151,0.0016,,,,,,
1953,5,1,0.0052,-0.0006,0.0016,0.0017,,,,,,
1953,6,1,-0.0189,-0.0177,-0.0051,0.0018,,,,,,
1953,7,1,0.024,-0.0099,-0.0036,0.0015,,,,,,
1953,8,1,-0.0451,0.0042,-0.0363,0.0017,,,,,,
1953,9,1,0.002,-0.0077,-0.0259,0.0016,,,,,,
1953,10,1,0.0459,-0.014,0.0004,0.0013,,,,,,
1953,11,1,0.0283,-0.0123,-0.0037,0.0008,,,,,,
1953,12,1,0.0003,-0.0074,-0.0295,0.0013,,,,,,
1954,1,1,0.0513,0.0045,0.0346,0.0011,,,,,,
1954,2,1,0.0167,-0.0019,-0.0024,0.0007,,,,,,
1954,3,1,0.0365,-0.0051,-0.0155,0.0008,,,,,,
1954,4,1,0.0427,-0.0347,-0.0053,0.0009,,,,,,
1954,5,1,0.0309,0.0037,0.0253,0.0005,,,,,,
1954,6,1,0.0107,0.0039,-0.0001,0.0006,,,,,,
1954,7,1,0.0499,0.0097,0.0426,0.0005,,,,,,
1954,8,1,-0.0234,0.027,-0.0146,0.0005,,,,,,
1954,9,1,0.0639,-0.0256,0.0067,0.0009,,,,,,
1954,10,1,-0.0167,0.0057,0.0072,0.0007,,,,,,
1954,11,1,0.0938,-0.0257,0.0405,0.0006,,,,,,
1954,12,1,0.0548,0.0218,0.0569,0.0008,,,,,,
1955,1,1,0.006,0.002,0.0229,0.0008,,,,,,
1955,2,1,0.0302,0.0156,0.0056,0.0009,,,,,,
1955,3,1,-0.0016,-0.0066,0.0195,0.001,,,,,,
1955,4,1,0.0311,-0.0183,0.0079,0.001,,,,,,
1955,5,1,0.0093,-0.0025,-0.0092,0.0014,,,,,,
1955,6,1,0.0655,-0.0472,0.0197,0.001,,,,,,
1955,7,1,0.019,-0.0131,0.0063,0.001,,,,,,
1955,8,1,0.0021,-0.0039,0.0059,0.0016,,,,,,
1955,9,1,-0.0037,0.0031,-0.0107,0.0016,,,,,,
1955,10,1,-0.0268,0.0149,0.0002,0.0018,,,,,,
1955,11,1,0.0703,-0.0244,0.0044,0.0017,,,,,,
1955,12,1,0.0149,0.021,-0.0232,0.0018,,,,,,
1956,1,1,-0.0304,0.0041,0.0116,0.0022,,,,,,
1956,2,1,0.0377,-0.0102,-0.0052,0.0019,,,,,,
1956,3,1,0.0664,-0.0229,-0.0044,0.0015,,,,,,
1956,4,1,0.0028,0.0004,-0.001,0.0019,,,,,,
1956,5,1,-0.052,0.0144,-0.0123,0.0023,,,,,,
1956,6,1,0.0348,-0.0143,-0.0133,0.002,,,,,,
1956,7,1,0.0484,-0.0177,0.0011,0.0022,,,,,,
1956,8,1,-0.0317,0.0227,-0.0125,0.0017,,,,,,
1956,9,1,-0.0514,0.0163,0.0175,0.0018,,,,,,
1956,10,1,0.0052,-0.0011,-0.0003,0.0025,,,,,,
1956,11,1,0.0036,-0.0008,0.0165,0.002,,,,,,
1956,12,1,0.0316,-0.0009,-0.0205,0.0024,,,,,,
1957,1,1,-0.0357,0.0366,0.0244,0.0027,,,,,,
1957,2,1,-0.0206,-0.0077,-0.0064,0.0024,,,,,,
1957,3,1,0.0213,0.0022,-0.0038,0.0023,,,,,,
1957,4,1,0.0426,-0.0178,-0.0128,0.0025,,,,,,
1957,5,1,0.0345,-0.0109,-0.0207,0.0026,,,,,,
1957,6,1,-0.0074,0.006,-0.001,0.0024,,,,,,
1957,7,1,0.0067,-0.0052,-0.0003,0.003,,,,,,
1957,8,1,-0.0511,-0.0002,-0.003,0.0025,,,,,,
1957,9,1,-0.0598,0.0005,0.009,0.0026,,,,,,
1957,10,1,-0.0432,-0.0258,-0.0173,0.0029,,,,,,
1957,11,1,0.023,0.0033,-0.0281,0.0028,,,,,,
1957,12,1,-0.0391,-0.0093,-0.017,0.0024,,,,,,
1958,1,1,0.0466,0.0434,0.0428,0.0028,,,,,,
1958,2,1,-0.0152,0.0071,0.0027,0.0012,,,,,,
1958,3,1,0.0328,0.008,-0.0121,0.0009,,,,,,
1958,4,1,0.0309,-0.0066,0.0161,0.0008,,,,,,
1958,5,1,0.0231,0.0214,-0.0021,0.0011,,,,,,
1958,6,1,0.0293,-0.0025,0.0051,0.0003,,,,,,
1958,7,1,0.0439,0.005,0.0308,0.0007,,,,,,
1958,8,1,0.0191,0.0118,0.0031,0.0004,,,,,,
1958,9,1,0.0466,0.0014,0.0299,0.0019,,,,,,
1958,10,1,0.0253,0.0116,-0.0119,0.0018,,,,,,
1958,11,1,0.0301,0.0203,-0.0129,0.0011,,,,,,
1958,12,1,0.0515,-0.0206,-0.0009,0.0022,,,,,,
1959,1,1,0.0071,0.03,0.0304,0.0021,,,,,,
1959,2,1,0.0095,0.0154,0.0099,0.0019,,,,,,
1959,3,1,0.0028,0.0148,-0.004,0.0022,,,,,,
1959,4,1,0.0366,-0.0053,-0.0134,0.002,,,,,,
1959,5,1,0.0173,-0.0213,0.0181,0.0022,,,,,,
1959,6,1,-0.0025,0.0067,0.0136,0.0025,,,,,,
1959,7,1,0.0317,-0.0034,0.0028,0.0025,,,,,,
1959,8,1,-0.0139,-0.008,0.0041,0.0019,,,,,,
1959,9,1,-0.0481,-0.0009,0.005,0.0031,,,,,,
