date,SP500,FORD,GE,MICROSOFT,ORACLE,USTB3M
2008-12,902.99,2.22,13.89,19.44,17.10,0.07
2009-01,823.09,1.81,10.40,17.10,16.23,0.08
2009-02,729.57,1.93,7.51,16.15,14.98,0.27
2009-03,793.59,2.54,8.92,18.37,17.42,0.28
2009-04,872.74,5.78,11.17,20.26,18.70,0.22
2009-05,923.26,5.56,11.90,20.89,18.94,0.16
2009-06,920.82,5.87,10.43,23.77,20.71,0.13
2009-07,990.22,7.74,11.93,23.52,21.45,0.17
2009-08,1019.52,7.35,12.37,24.65,21.20,0.19
2009-09,1054.91,6.97,14.70,25.72,20.20,0.14
2009-10,1036.18,6.77,12.77,27.73,20.50,0.10
2009-11,1098.89,8.60,14.34,29.41,21.45,0.06
2009-12,1116.56,9.67,13.63,30.48,23.83,0.06
2010-01,1073.89,10.49,14.49,28.18,22.45,0.08
2010-02,1105.36,11.36,14.56,28.67,24.00,0.10
2010-03,1171.23,12.16,16.50,29.29,25.03,0.13
2010-04,1188.58,12.60,17.10,30.54,25.23,0.16
2010-05,1087.30,11.35,14.82,25.80,22.01,0.17
2010-06,1031.10,9.75,13.16,23.01,20.93,0.16
2010-07,1107.53,12.35,14.71,25.81,23.11,0.17
2010-08,1049.72,10.92,13.21,23.47,21.36,0.16
2010-09,1143.49,11.84,14.94,24.49,26.24,0.13
2010-10,1185.71,13.67,14.73,26.67,28.77,0.16
2010-11,1186.60,15.42,14.55,25.26,26.49,0.13
2010-12,1257.62,16.24,16.94,27.91,30.65,0.16
2011-01,1289.14,15.43,18.66,27.73,31.41,0.15
2011-02,1328.64,14.56,19.51,26.58,32.27,0.15
2011-03,1329.48,14.42,18.70,25.39,32.79,0.14
2011-04,1365.21,14.97,19.08,25.92,35.33,0.07
2011-05,1345.20,14.43,18.32,25.01,33.62,0.05
2011-06,1320.64,13.34,17.74,26.00,32.33,0.05
2011-07,1292.59,11.81,16.84,27.40,30.10,0.02
2011-08,1219.12,10.76,15.34,26.60,27.63,0.10
2011-09,1131.21,9.35,14.45,24.89,28.29,0.02
2011-10,1251.00,11.30,15.87,26.63,32.32,0.02
2011-11,1246.91,10.25,15.11,25.58,30.92,0.01
2011-12,1258.86,10.41,17.17,25.96,25.30,0.01
2012-01,1312.45,12.06,17.94,29.53,27.88,0.02
2012-02,1365.90,12.02,18.43,31.74,28.92,0.06
2012-03,1408.47,12.12,19.41,32.26,28.82,0.08
2012-04,1397.86,11.00,18.94,32.02,29.12,0.08
2012-05,1309.87,10.30,18.46,29.19,26.22,0.09
2012-06,1362.33,9.35,20.33,30.59,29.42,0.07
2012-07,1379.32,9.01,20.24,29.47,29.97,0.10
2012-08,1406.54,9.16,20.20,30.82,31.41,0.10
2012-09,1440.90,9.67,22.32,29.76,31.22,0.10
2012-10,1412.20,11.00,20.70,28.54,30.91,0.09
2012-11,1416.34,11.28,20.77,26.62,32.00,0.09
2012-12,1426.19,12.76,20.82,26.71,33.32,0.10
2013-01,1498.11,12.86,22.10,27.45,35.51,0.08
2013-02,1514.68,12.52,23.22,27.80,34.24,0.06
2013-03,1569.18,13.05,23.12,28.61,32.33,0.11
2013-04,1597.55,13.61,22.29,33.10,32.78,0.08
