date,close_price
2020-07-26,9897.83
2020-07-27,10892.70
2020-07-28,10976.83
2020-07-29,11218.48
2020-07-30,11146.75
2020-07-31,11340.25
2020-08-01,11839.82
2020-08-02,11096.66
2020-08-03,11382.66
2020-08-04,11212.08
2020-08-05,11692.16
2020-08-06,11858.83
2020-08-07,11545.00
2020-08-08,11714.01
2020-08-09,11545.00
2020-08-10,11854.00
2020-08-11,11210.50
2020-08-12,11582.00
2020-08-13,11609.46
2020-08-14,11769.25
2020-08-15,11883.00
2020-08-16,11849.00
2020-08-17,12321.37
2020-08-18,12046.21
2020-08-19,11713.54
2020-08-20,11858.30
2020-08-21,11613.07
2020-08-22,11613.06
2020-08-23,11666.59
2020-08-24,11735.00
2020-08-25,11266.75
2020-08-26,11510.95
2020-08-27,11266.50
2020-08-28,11510.00
2020-08-29,11517.14
2020-08-30,11510.00
2020-08-31,11680.47
2020-09-01,12024.75
2020-09-02,11372.50
2020-09-03,10782.44
2020-09-04,10602.00
2020-09-05,10091.49
2020-09-06,10239.65
2020-09-07,10151.79
2020-09-08,10017.75
2020-09-09,10264.00
2020-09-10,10301.23
2020-09-11,10327.84
2020-09-12,10441.12
2020-09-13,10256.91
2020-09-14,10695.98
2020-09-15,10867.69
2020-09-16,10999.54
2020-09-17,10938.97
2020-09-18,10887.70
2020-09-19,11088.12
2020-09-20,10894.91
2020-09-21,10483.00
2020-09-22,10516.26
2020-09-23,10219.73
2020-09-24,10633.25
2020-09-25,10722.73
2020-09-26,10717.81
2020-09-27,10722.73
2020-09-28,10874.25
2020-09-29,10753.84
2020-09-30,10711.50
2020-10-01,10602.25
2020-10-02,10544.55
2020-10-03,10580.46
2020-10-04,10544.72
2020-10-05,10737.95
2020-10-06,10545.17
2020-10-07,10656.19
2020-10-08,10899.75
2020-10-09,11036.99
2020-10-10,11364.07
2020-10-11,11036.99
2020-10-12,11568.69
2020-10-13,11429.81
2020-10-14,11394.80
2020-10-15,11544.36
2020-10-16,11312.75
2020-10-17,11357.57
2020-10-18,11312.75
2020-10-19,11740.00
2020-10-20,11901.26
2020-10-21,12857.50
2020-10-22,13130.50
2020-10-23,12948.99
2020-10-24,13112.20
2020-10-25,12948.99
2020-10-26,13016.36
2020-10-27,13613.17
2020-10-28,13204.90
2020-10-29,13484.25
2020-10-30,13636.00
2020-10-31,13840.00
2020-11-01,13636.00
2020-11-02,13618.00
2020-11-03,13742.00
2020-11-04,14006.83
2020-11-05,15245.12
2020-11-06,15561.25
2020-11-07,14837.59
2020-11-08,15561.25
2020-11-09,15382.50
2020-11-10,15398.69
2020-11-11,15831.87
2020-11-12,16157.25
2020-11-13,16304.30
2020-11-14,16007.06
2020-11-15,16304.30
2020-11-16,16705.75
2020-11-17,17642.89
2020-11-18,17789.75
2020-11-19,17944.40
2020-11-20,18596.42
2020-11-21,18643.79
2020-11-22,18493.45
2020-11-23,18423.19
2020-11-24,18949.04
2020-11-25,18870.47
2020-11-26,17058.13
2020-11-27,17008.42
2020-11-28,17760.00
2020-11-29,17008.42
2020-11-30,19376.24
2020-12-01,19042.97
2020-12-02,19159.50
2020-12-03,19461.00
2020-12-04,18822.61
2020-12-05,19007.59
2020-12-06,19134.58
2020-12-07,19080.75
2020-12-08,18765.05
2020-12-09,18512.17
2020-12-10,18344.21
2020-12-11,18109.46
2020-12-12,18805.15
2020-12-13,18109.46
2020-12-14,19195.75
2020-12-15,19424.94
2020-12-16,21214.51
2020-12-17,22787.21
2020-12-18,22900.50
2020-12-19,23987.87
2020-12-20,23361.43
2020-12-21,23144.47
2020-12-22,23439.64
2020-12-23,23290.58
2020-12-24,23397.91
2020-12-25,24405.52
2020-12-26,26662.16
2020-12-27,26748.79
2020-12-28,26584.87
2020-12-29,26893.11
2020-12-30,28911.00
2020-12-31,28987.60
2021-01-01,29260.25
2021-01-02,31696.74
2021-01-03,29260.25
2021-01-04,31031.51
2021-01-05,33813.69
2021-01-06,35930.60
2021-01-07,39772.25
2021-01-08,40063.15
2021-01-09,40857.39
2021-01-10,38594.90
2021-01-11,33951.50
2021-01-12,34678.66
2021-01-13,37267.57
2021-01-14,38720.86
2021-01-15,36250.18
2021-01-16,35920.05
2021-01-17,36250.18
2021-01-18,36228.07
2021-01-19,36476.00
2021-01-20,34903.15
2021-01-21,31182.37
2021-01-22,33311.02
2021-01-23,32370.67
2021-01-24,31889.44
2021-01-25,32695.53
2021-01-26,32005.74
2021-01-27,31011.80
2021-01-28,33257.54
2021-01-29,34641.50
2021-01-30,34684.99
2021-01-31,32321.40
2021-02-01,33655.37
2021-02-02,35676.21
2021-02-03,37303.72
2021-02-04,37680.95
2021-02-05,37860.26
2021-02-06,40074.99
2021-02-07,37902.77
2021-02-08,44666.51
2021-02-09,47355.82
2021-02-10,45020.08
2021-02-11,46937.99
2021-02-12,47942.34
2021-02-13,47188.37
2021-02-14,48644.68
2021-02-15,48217.97
2021-02-16,48585.07
2021-02-17,52400.44
2021-02-18,52044.10
2021-02-19,55608.59
2021-02-20,56513.16
2021-02-21,57529.76
2021-02-22,54950.58
2021-02-23,47945.75
2021-02-24,48726.36
2021-02-25,48037.40
2021-02-26,45638.60
2021-02-27,46856.06
2021-02-28,43177.77
2021-03-01,48858.83
2021-03-02,47444.18
2021-03-03,50924.19
2021-03-04,47895.14
2021-03-05,49048.01
2021-03-06,48593.80
2021-03-07,51057.91
2021-03-08,51888.64
2021-03-09,54305.50
2021-03-10,56898.50
2021-03-11,57620.52
2021-03-12,56969.00
2021-03-13,61606.06
2021-03-14,59690.28
2021-03-15,56411.75
2021-03-16,56425.72
2021-03-17,57725.64
2021-03-18,57485.33
2021-03-19,58385.24
2021-03-20,58525.64
2021-03-21,57276.32
2021-03-22,54580.00
2021-03-23,54433.56
2021-03-24,54048.50
2021-03-25,51990.48
2021-03-26,54000.00
2021-03-27,55879.05
2021-03-28,55971.01
2021-03-29,57241.15
2021-03-30,58672.03
2021-03-31,58950.02
2021-04-01,58854.18
2021-04-02,58669.50
2021-04-03,58062.40
2021-04-04,58103.68
2021-04-05,58776.77
2021-04-06,58252.26
2021-04-07,56224.08
2021-04-08,57661.74
2021-04-09,58312.42
2021-04-10,58572.56
2021-04-11,59821.38
2021-04-12,59935.00
2021-04-13,63194.82
2021-04-14,62382.45
2021-04-15,63398.46
2021-04-16,62006.92
2021-04-17,60863.58
2021-04-18,55550.00
2021-04-19,56209.12
2021-04-20,56780.90
2021-04-21,55002.25
2021-04-22,51592.12
2021-04-23,50543.35
2021-04-24,50964.05
2021-04-25,49968.49
2021-04-26,53272.50
2021-04-27,55194.32
2021-04-28,54427.56
2021-04-29,52987.84
2021-04-30,56802.90
2021-05-01,57719.89
2021-05-02,56818.68
2021-05-03,56818.58
2021-05-04,54792.75
2021-05-05,56860.77
2021-05-06,55961.00
2021-05-07,57694.35
2021-05-08,59009.02
2021-05-09,57958.91
2021-05-10,55302.97
2021-05-11,56902.40
2021-05-12,54469.39
2021-05-13,49305.39
2021-05-14,49182.03
2021-05-15,48227.45
2021-05-16,44055.36
2021-05-17,44818.31
2021-05-18,43260.45
2021-05-19,38309.23
2021-05-20,40066.37
2021-05-21,35208.50
2021-05-22,38072.34
2021-05-23,32562.03
2021-05-24,39020.64
2021-05-25,37635.68
2021-05-26,38767.74
2021-05-27,38409.81
2021-05-28,35208.54
2021-05-29,34318.24
2021-05-30,36056.79
2021-05-31,36685.94
2021-06-01,36317.38
2021-06-02,37739.05
2021-06-03,38701.82
2021-06-04,37040.80
2021-06-05,35845.63
2021-06-06,35969.57
2021-06-07,34441.65
2021-06-08,33620.38
2021-06-09,36420.00
2021-06-10,36476.84
2021-06-11,37132.84
2021-06-12,36002.13
2021-06-13,39258.47
2021-06-14,39847.49
2021-06-15,39947.50
2021-06-16,38518.13
2021-06-17,37744.61
2021-06-18,35505.82
2021-06-19,36104.30
2021-06-20,35822.21
2021-06-21,32568.17
2021-06-22,32885.52
2021-06-23,33061.20
2021-06-24,34847.63
2021-06-25,32194.89
2021-06-26,31298.31
2021-06-27,32614.41
2021-06-28,34650.05
2021-06-29,36152.31
2021-06-30,34576.96
2021-07-01,33414.00
2021-07-02,33146.54
2021-07-03,34718.47
2021-07-04,35539.34
2021-07-05,33853.41
2021-07-06,33945.25
2021-07-07,34534.60
2021-07-08,32812.08
2021-07-09,33517.17
2021-07-10,33327.63
2021-07-11,33849.10
2021-07-12,32842.02
2021-07-13,32506.87
2021-07-14,32793.78
2021-07-15,31754.71
2021-07-16,31833.25
2021-07-17,31722.08
2021-07-18,31651.52
2021-07-19,30765.45
2021-07-20,29856.77
2021-07-21,31791.17
2021-07-22,32230.00
2021-07-23,32491.82
2021-07-24,33933.98
2021-07-25,34479.10
2021-07-26,37731.56
2021-07-27,38043.44
2021-07-28,39943.23
2021-07-29,39718.50
2021-07-30,40668.15
2021-07-31,41537.42
2021-08-01,41258.17
2021-08-02,38865.00
2021-08-03,38079.00
2021-08-04,39733.44
2021-08-05,40889.42
2021-08-06,42734.82
2021-08-07,43971.67
2021-08-08,43860.23
2021-08-09,45472.75
2021-08-10,45640.12
2021-08-11,46337.78
2021-08-12,44485.50
2021-08-13,47614.16
2021-08-14,46662.92
2021-08-15,46714.03
2021-08-16,46080.77
2021-08-17,44975.26
2021-08-18,44536.35
2021-08-19,46583.75
2021-08-20,48653.93
2021-08-21,49005.34
2021-08-22,48395.73
2021-08-23,49517.94
2021-08-24,48331.77
2021-08-25,48681.80
2021-08-26,47024.56
2021-08-27,48915.88
2021-08-28,48741.79
2021-08-29,48924.93
2021-08-30,48659.25
2021-08-31,47003.10
2021-09-01,48267.16
2021-09-02,49548.39
2021-09-03,50134.99
2021-09-04,50180.57
2021-09-05,50381.57
2021-09-06,51915.11
2021-09-07,46799.55
2021-09-08,46053.24
2021-09-09,46240.73
2021-09-10,45052.00
2021-09-11,45316.86
2021-09-12,45895.65
2021-09-13,45167.00
2021-09-14,46818.89
2021-09-15,47926.16
2021-09-16,47141.87
2021-09-17,46968.30
2021-09-18,47967.67
2021-09-19,47645.37
2021-09-20,43546.25
2021-09-21,40893.82
2021-09-22,43457.00
2021-09-23,44701.77
2021-09-24,42997.00
2021-09-25,42662.10
2021-09-26,43154.45
2021-09-27,42691.25
