date,Mkt-RF,SMB,HML,RF,CAC40,Accor,AirLiquide,Airbus,ArcelorMittal,AXA,BNP-Paribas,Bouygues,Capgemini,Carrefour,CompagnieSaintGobain,Michelin,CreditAgricole,Danone,ENGIE,Essilor,Kering,Klepierre,LOreal,Lafarge,Legrand,LVMH,Nokia,Orange,PernodRicard,Peugeot,PublicisGroupe,Renault,Safran,Sanofi,SchneiderElectric,SocieteGenerale,Sodexo,Solvay,Technip,Total,UnibailRodamco,Valeo,Veolia,VINCI,Vivendi
2001-12,-0.04740,0.03050,0.01690,0.00140,0.03318,0.10351,-0.00694,0.02249,0.29333,-0.03811,0.02551,-0.04416,0.13268,0.00951,0.04052,0.01423,,0.06119,,0.03823,-0.01566,0.00280,0.05270,,,0.00816,0.11197,0.01814,0.05455,0.00994,0.06593,0.03124,0.11880,0.08269,0.05675,0.03372,0.05032,0.05869,0.14068,0.12561,-0.00262,0.06036,-0.08634,0.05024,0.07612
2002-01,0.00390,-0.00300,0.01570,0.00130,-0.03518,0.00416,0.00699,-0.04692,-0.01031,-0.08564,0.07463,-0.06440,-0.03083,-0.02397,-0.02360,0.11012,0.04553,-0.02190,,0.04713,-0.17220,0.04567,-0.02596,,,0.02188,-0.07631,-0.17216,-0.01724,-0.04021,-0.03933,0.12093,0.03055,-0.07160,-0.02778,0.08831,-0.03312,0.07761,-0.07067,0.01559,-0.00701,0.06808,0.02483,0.05239,-0.19154
2002-02,0.05100,-0.00440,0.00790,0.00130,0.00025,0.03537,0.03028,0.12077,-0.08854,0.00419,0.03796,-0.04153,-0.02481,-0.08421,0.08459,0.06735,0.01882,-0.00746,,0.09508,0.01003,0.02941,0.02538,,,0.15632,-0.07695,-0.18079,0.05263,0.09753,0.06788,0.13176,-0.01553,-0.02442,0.10476,0.00000,-0.01336,0.05418,0.04304,0.04297,0.05913,0.00920,-0.04923,0.01732,-0.09735
2002-03,-0.00300,0.02870,0.04840,0.00150,0.05042,0.08363,0.03001,0.10913,0.05714,0.20046,0.03301,0.13485,0.11285,0.03448,0.04234,-0.00820,0.15462,0.01579,,0.05446,0.12324,0.01299,0.04889,,,0.08148,0.01471,0.15337,0.01667,0.12525,0.27326,0.09453,-0.00860,-0.03030,0.00000,0.05994,0.02096,-0.02082,0.08459,0.04179,0.01500,0.05405,-0.02466,0.05319,-0.00668
2002-04,0.00380,0.01820,0.04600,0.00140,-0.04805,-0.02478,0.02140,0.02847,0.51351,-0.08968,0.00173,-0.10547,-0.24091,-0.10278,0.01550,-0.01240,0.07221,0.08808,,0.10012,-0.07216,0.02137,0.02596,,,-0.00599,-0.27507,-0.23235,0.12022,-0.02473,-0.12764,-0.06455,-0.08171,-0.03465,-0.07672,0.04828,-0.08041,-0.01794,-0.00698,-0.04972,0.07143,-0.06680,0.02809,-0.04377,-0.20615
2002-05,-0.02460,0.01090,0.02420,0.00130,-0.04215,-0.02809,-0.01397,0.04633,-0.03571,-0.11253,0.03879,-0.05493,-0.18610,0.11352,0.00000,-0.02791,0.04433,0.00612,,-0.04296,0.05000,0.10377,-0.11961,,,-0.02239,-0.16000,-0.22960,-0.06195,0.02355,-0.04248,0.02624,0.12598,-0.08586,0.02708,-0.04276,-0.13814,0.00203,-0.17305,-0.00773,0.04215,0.00211,-0.07295,-0.05915,-0.05058
2002-06,-0.10540,0.01670,0.03240,0.00150,-0.08811,-0.05803,0.03468,-0.10466,0.16296,-0.11388,-0.07054,-0.10644,-0.23624,0.01576,-0.04316,-0.01842,-0.08163,-0.05882,,-0.04743,-0.09221,-0.06368,0.03201,,,-0.10132,-0.02778,-0.54598,0.03172,-0.06991,-0.13894,-0.10322,-0.04895,-0.05158,-0.01000,-0.08316,0.03616,-0.01553,-0.17683,-0.01498,-0.08088,-0.11555,-0.07899,0.02769,-0.34881
2002-07,0.00130,-0.02230,0.02000,0.00140,-0.12381,-0.18067,-0.08087,0.03083,-0.15605,-0.29644,-0.16286,-0.17109,-0.13143,-0.18978,-0.32937,-0.01414,-0.07111,-0.14224,,-0.07700,-0.25895,-0.01215,-0.09494,,,-0.11569,-0.13401,0.55885,-0.11492,-0.06070,-0.16637,-0.01162,-0.08382,-0.02273,-0.09881,-0.14543,-0.22734,-0.03292,-0.31707,-0.10280,0.02400,-0.03539,-0.23123,-0.13328,-0.25686
2002-08,-0.13210,0.03100,-0.02000,0.00140,-0.01440,0.05498,-0.01327,-0.15078,0.01887,0.07214,0.01451,0.07676,-0.12500,0.03311,0.00066,-0.09765,0.04785,0.06533,,0.05526,-0.06180,-0.02049,0.02867,,,-0.05831,0.07463,-0.13197,0.01538,-0.07577,-0.03348,0.05342,0.10193,0.01578,-0.04422,0.06053,0.00775,0.00071,0.07143,-0.01424,-0.04062,-0.03226,0.05892,0.04286,-0.21279
2002-09,0.08600,-0.06830,-0.00830,0.00140,-0.17490,-0.16761,-0.11536,-0.21130,-0.22593,-0.28919,-0.30656,0.02970,-0.47042,-0.11489,-0.26754,-0.22137,-0.28950,-0.04088,,0.02344,-0.23353,-0.02929,-0.00748,,,-0.13115,-0.02778,-0.45611,0.02075,-0.17996,-0.15187,-0.11582,-0.15659,-0.06705,-0.04307,-0.29429,-0.34214,-0.15167,-0.14744,-0.08391,-0.07166,-0.26132,-0.19316,-0.01209,-0.11328
