Date,HedgeIndex Main Index,HedgeIndex Convertible Arbitrage Composite Index,HedgeIndex Convertible Arbitrage Index,HedgeIndex Equity Market Neutral Composite Index,HedgeIndex Equity Market Neutral Index,HedgeIndex Event Driven Composite Index,HedgeIndex Event Driven Index,HedgeIndex Fixed Income Arbitrage Composite Index,HedgeIndex Fixed Income Arbitrage Index,HedgeIndex Global Macro Composite Index,HedgeIndex Global Macro Index,HedgeIndex Long/Short Equity Composite Index,HedgeIndex Long/Short Equity Index,HedgeIndex Managed Futures Composite Index,HedgeIndex Managed Futures Index,HedgeIndex Multi-Strategy Composite Index,HedgeIndex Multi-Strategy Index
2007-09,379.04,107.15,287.29,109.97,326.29,131.89,421.19,95.68,205.30,103.10,530.00,133.22,431.16,112.42,199.39,125.62,309.52
2007-10,390.49,108.44,293.18,111.41,330.81,134.83,432.86,97.04,207.42,105.58,543.68,137.35,446.60,117.27,207.17,129.07,318.43
2007-11,385.53,106.04,288.65,110.42,332.39,132.38,425.34,98.17,206.75,106.50,542.35,134.77,438.69,116.71,205.06,126.89,314.61
2007-12,387.08,104.18,287.31,110.16,333.78,132.31,426.40,98.38,207.05,109.67,550.17,134.37,440.26,116.34,205.59,125.35,313.44
2008-01,381.24,103.27,285.64,108.68,335.87,129.36,415.94,99.15,207.51,115.66,573.85,127.32,422.49,120.95,213.81,122.61,307.70
2008-02,387.43,99.85,282.19,109.16,339.56,131.14,419.61,98.92,206.28,117.59,597.23,128.42,431.22,127.38,227.76,120.80,307.07
2008-03,379.82,92.17,266.27,108.10,339.80,129.26,412.95,97.08,193.68,113.31,587.86,125.77,422.94,127.10,226.74,118.06,301.68
2008-04,382.42,92.87,269.53,107.32,341.25,130.90,415.52,98.26,197.93,113.37,579.05,129.53,432.80,122.94,222.05,118.98,304.01
2008-05,390.49,94.63,273.87,107.66,345.38,133.90,423.84,99.56,200.64,116.19,590.13,132.50,445.89,125.35,225.49,120.70,308.00
2008-06,391.03,93.81,273.28,108.28,347.74,132.83,423.81,98.72,200.00,118.66,602.63,127.36,440.67,130.61,236.49,119.53,308.59
2008-07,381.28,91.81,267.74,108.25,348.02,128.24,413.57,98.01,199.52,114.86,587.42,123.81,426.02,124.83,226.79,116.47,301.34
