date,France_CAC40,Germany_DAX,UK_FTSE
2009-02-20,-0.0425,-0.0476,-0.0259
2009-02-23,-0.0082,-0.0195,-0.0034
2009-02-24,-0.0073,-0.0103,-0.0192
2009-02-25,-0.0041,-0.0127,0.0003
2009-02-26,0.0178,0.0251,0.0224
2009-02-27,-0.0154,-0.0251,-0.0259
2009-03-02,-0.0448,-0.0348,-0.0619
2009-03-03,-0.0104,-0.0052,-0.0264
2009-03-04,0.0474,0.0542,0.0432
2009-03-05,-0.0396,-0.0502,-0.0302
2009-03-06,-0.0137,-0.0079,-0.0069
2009-03-09,-0.0060,0.0070,-0.0226
2009-03-10,0.0573,0.0528,0.0464
2009-03-11,0.0039,0.0070,-0.0121
2009-03-12,0.0075,0.0108,0.0053
2009-03-13,0.0042,-0.0007,0.0160
2009-03-16,0.0318,0.0230,0.0297
2009-03-17,-0.0087,-0.0140,-0.0049
2009-03-18,-0.0025,0.0021,-0.0270
2009-03-19,0.0060,0.0118,0.0003
2009-03-20,0.0051,0.0063,0.0077
2009-03-23,0.0281,0.0265,0.0331
2009-03-24,0.0017,0.0026,0.0087
2009-03-25,0.0066,0.0086,-0.0139
2009-03-26,-0.0005,0.0085,-0.0012
2009-03-27,-0.0178,-0.0131,0.0003
2009-03-30,-0.0427,-0.0510,-0.0339
2009-03-31,0.0324,0.0239,0.0453
2009-04-01,0.0115,0.0113,0.0149
2009-04-02,0.0537,0.0607,0.0527
2009-04-03,-0.0111,0.0007,-0.0162
2009-04-06,-0.0098,-0.0080,-0.0080
2009-04-07,-0.0094,-0.0063,-0.0096
2009-04-08,0.0065,0.0082,-0.0057
2009-04-09,0.0182,0.0306,0.0186
2009-04-13,0.0000,0.0000,0.0009
2009-04-14,0.0088,0.0147,0.0140
2009-04-15,-0.0048,-0.0016,0.0067
2009-04-16,0.0176,0.0131,0.0158
2009-04-17,0.0177,0.0146,0.0143
2009-04-20,-0.0396,-0.0407,-0.0337
2009-04-21,0.0015,0.0034,0.0018
2009-04-22,0.0172,0.0206,0.0011
2009-04-23,-0.0055,-0.0122,-0.0011
2009-04-24,0.0313,0.0300,0.0258
2009-04-27,-0.0001,0.0042,0.0080
2009-04-28,-0.0166,-0.0185,-0.0137
2009-04-29,0.0216,0.0211,0.0159
2009-04-30,0.0138,0.0138,0.0189
2009-05-01,0.0000,0.0000,0.0024
2009-05-04,0.0247,0.0279,0.0007
2009-05-05,-0.0040,-0.0101,0.0298
2009-05-06,0.0181,0.0057,0.0157
2009-05-07,-0.0097,-0.0157,-0.0089
2009-05-08,0.0188,0.0229,0.0100
2009-05-11,-0.0193,-0.0096,-0.0133
2009-05-12,-0.0054,-0.0026,0.0059
2009-05-13,-0.0242,-0.0261,-0.0259
2009-05-14,0.0011,0.0023,0.0070
